country_code,country_name,region,income_group,reliability,national_ai_exposure,exposure_rank_1_highest,exposure_percentile_100_highest,total_employment_m_workers,white_collar_worker_share,white_collar_ai_exposure,other_worker_ai_exposure,gni_per_capita_ppp,anthropic_claude_usage_per_100k_wap,openai_signals_rank_percentile,microsoft_genai_adoption_pct_wap,remittance_pct_gdp,remittance_accounted_exposure
LUX,Luxembourg,Europe & Central Asia,High income,high,0.3715,1,100.0,0.3,0.7434,0.4351,0.1871,110650,111.610,,,2.68,0.3243
SGP,Singapore,East Asia & Pacific,High income,high,0.3676,2,99.3,2.3,0.7376,0.4240,0.2090,126190,122.011,1.000,63.400,,
NLD,Netherlands,Europe & Central Asia,High income,high,0.3391,3,98.6,9.7,0.6355,0.4139,0.2085,84970,88.740,0.991,42.100,0.39,0.3391
CHE,Switzerland,Europe & Central Asia,High income,high,0.3349,4,97.9,4.8,0.6537,0.4085,0.1958,91110,107.015,0.974,37.800,0.39,0.3349
SWE,Sweden,Europe & Central Asia,High income,high,0.3340,5,97.1,5.3,0.6415,0.4090,0.1999,75000,74.223,0.923,36.100,0.73,0.3340
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,high,0.3333,6,96.4,4.0,0.6192,0.4111,0.2068,56790,114.755,0.983,38.100,0.18,0.3333
DEU,Germany,Europe & Central Asia,High income,high,0.3330,7,95.7,42.3,0.6094,0.4154,0.2045,76180,57.631,0.897,31.100,0.45,0.3330
IRL,Ireland,Europe & Central Asia,High income,high,0.3307,8,95.0,2.7,0.5966,0.4155,0.2054,101180,73.067,0.846,48.400,0.11,0.3307
GBR,United Kingdom of Great Britain and Northern Ireland,Europe & Central Asia,High income,high,0.3294,9,94.3,34.1,0.6445,0.4033,0.1956,61460,81.836,0.761,42.200,0.13,0.3294
DNK,Denmark,Europe & Central Asia,High income,high,0.3239,10,93.6,3.0,0.5725,0.4134,0.2041,84680,66.910,0.889,31.200,0.36,0.3239
BEL,Belgium,Europe & Central Asia,High income,high,0.3231,11,92.9,5.0,0.5977,0.4094,0.1948,74770,63.859,0.949,39.000,2.31,0.3193
USA,United States of America,North America,High income,high,0.3225,12,92.1,163.5,0.6074,0.3999,0.2026,85980,100.982,0.778,31.300,0.03,0.3225
CYP,Cyprus,Europe & Central Asia,High income,high,0.3219,13,91.4,0.5,0.5302,0.4338,0.1957,56200,72.335,,,1.80,0.3228
AUS,Australia,East Asia & Pacific,High income,high,0.3217,14,90.7,14.4,0.5830,0.4071,0.2023,69600,90.749,0.906,39.500,0.10,0.3217
AUT,Austria,Europe & Central Asia,High income,high,0.3211,15,90.0,4.5,0.5609,0.4134,0.2032,74160,57.781,0.880,34.100,0.65,0.3211
NOR,Norway,Europe & Central Asia,High income,high,0.3196,16,89.3,2.8,0.5886,0.3958,0.2105,106830,72.280,0.932,48.600,0.20,0.3196
FRA,France,Europe & Central Asia,High income,high,0.3193,17,88.6,28.5,0.5860,0.4089,0.1925,63880,76.919,0.863,47.800,1.23,0.3168
MNE,Montenegro,Europe & Central Asia,Upper middle income,high,0.3181,18,87.9,0.3,0.4826,0.4189,0.2240,33970,42.052,,,10.34,0.3022
POL,Poland,Europe & Central Asia,High income,high,0.3165,19,87.1,17.0,0.5316,0.4172,0.2022,49540,39.152,0.795,31.000,0.95,0.3165
JPN,Japan,East Asia & Pacific,High income,high,0.3161,20,86.4,66.1,0.4246,0.4733,0.2001,55490,39.969,0.632,22.500,0.12,0.3161
GRC,Greece,Europe & Central Asia,High income,high,0.3154,21,85.7,17.1,0.4450,0.4318,0.2220,43340,32.290,0.821,20.800,0.22,0.3154
PRT,Portugal,Europe & Central Asia,High income,high,0.3139,22,85.0,5.2,0.5080,0.4224,0.2020,50730,65.698,0.855,26.400,0.59,0.3139
NIU,Niue,,,medium,0.3137,23,84.3,0.0,0.6091,0.3892,0.1961,,,,,,
ITA,Italy,Europe & Central Asia,High income,high,0.3130,24,83.6,23.7,0.5005,0.4243,0.2015,61620,46.395,0.675,30.200,0.47,0.3130
EST,Estonia,Europe & Central Asia,High income,high,0.3115,25,82.9,0.7,0.5344,0.4130,0.1950,48880,85.641,,,1.15,0.3119
HRV,Croatia,Europe & Central Asia,High income,high,0.3107,26,82.1,1.7,0.5173,0.4074,0.2070,49740,44.582,,26.100,7.21,0.3155
FIN,Finland,Europe & Central Asia,High income,high,0.3089,27,81.4,2.6,0.5353,0.4013,0.2026,65640,59.160,0.957,29.500,0.25,0.3089
LTU,Lithuania,Europe & Central Asia,High income,high,0.3088,28,80.7,1.5,0.5251,0.4123,0.1944,53920,60.981,,24.300,1.24,0.3199
HUN,Hungary,Europe & Central Asia,High income,high,0.3086,29,80.0,4.7,0.4925,0.4196,0.2008,47290,26.660,0.726,32.200,2.46,0.3252
BRN,Brunei Darussalam,East Asia & Pacific,High income,high,0.3071,30,79.3,0.2,0.5106,0.4098,0.1999,92750,21.520,,,,
TUV,Tuvalu,East Asia & Pacific,Upper middle income,high,0.3055,31,78.6,0.0,0.5635,0.4027,0.1800,8320,,,,,
LVA,Latvia,Europe & Central Asia,High income,high,0.3042,32,77.9,0.9,0.5153,0.4081,0.1938,42660,60.911,,,3.06,0.3181
SVN,Slovenia,Europe & Central Asia,High income,high,0.3041,33,77.1,1.0,0.4994,0.4117,0.1967,56520,56.572,,29.000,1.24,0.3208
CZE,Czechia,Europe & Central Asia,High income,high,0.3016,34,76.4,5.2,0.4895,0.4088,0.1989,54800,43.628,0.872,30.100,1.22,0.3292
ESP,Spain,Europe & Central Asia,High income,high,0.3011,35,75.7,21.6,0.4623,0.4132,0.2047,57670,48.602,0.838,44.200,0.37,0.3011
RUS,Russian Federation,Europe & Central Asia,High income,high,0.2982,36,75.0,73.5,0.5143,0.3860,0.2053,46780,,,9.500,0.09,0.2982
PLW,Palau,East Asia & Pacific,High income,high,0.2949,37,74.3,0.0,0.4408,0.4235,0.1935,18320,,,,,
ARG,Argentina,Latin America & Caribbean,Upper middle income,high,0.2937,38,73.6,12.2,0.3802,0.4304,0.2098,29800,16.534,0.658,21.900,0.16,0.2937
BGR,Bulgaria,Europe & Central Asia,High income,high,0.2924,39,72.9,2.9,0.4099,0.4146,0.2076,39850,38.344,0.752,29.700,2.33,0.3097
WLF,Wallis and Futuna,,,medium,0.2907,40,72.1,0.0,0.4407,0.4198,0.1890,,,,,,
MSR,Montserrat,,,medium,0.2904,41,71.4,0.0,0.4751,0.4104,0.1817,,,,,,
COK,Cook Islands,,,high,0.2900,42,70.7,0.0,0.4423,0.3924,0.2089,,,,,,
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,high,0.2894,43,70.0,0.5,0.3958,0.4335,0.1951,35100,35.342,,,1.92,0.3235
KOS,Kosovo,Europe & Central Asia,Upper middle income,high,0.2879,44,69.3,0.4,0.4002,0.4013,0.2122,18290,9.270,,,17.30,0.3306
BRB,Barbados,Latin America & Caribbean,High income,high,0.2864,45,68.6,0.1,0.4180,0.3973,0.2066,23850,42.777,,,,
MKD,North Macedonia,Europe & Central Asia,Upper middle income,high,0.2862,46,67.9,0.7,0.4049,0.4062,0.2046,25610,34.942,,,2.70,0.3183
SRB,Serbia,Europe & Central Asia,Upper middle income,high,0.2847,47,67.1,12.2,0.4048,0.4118,0.1982,30770,39.589,0.786,24.100,6.40,0.3225
BHS,Bahamas,Latin America & Caribbean,High income,high,0.2824,48,66.4,0.2,0.3713,0.4198,0.2013,39550,30.480,,,,
BLR,Belarus,Europe & Central Asia,Upper middle income,high,0.2821,49,65.7,4.8,0.4592,0.3820,0.1973,32300,,,9.600,1.81,0.3040
URY,Uruguay,Latin America & Caribbean,High income,high,0.2807,50,65.0,1.7,0.3578,0.4309,0.1970,34170,26.667,,24.600,0.17,0.2807
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,high,0.2806,51,64.3,7.2,0.4381,0.4135,0.1770,81530,52.662,0.966,70.100,,
MDV,Maldives,South Asia,Upper middle income,high,0.2797,52,63.6,0.2,0.4541,0.4043,0.1761,23400,39.010,,,0.08,0.2797
CHL,Chile,Latin America & Caribbean,High income,high,0.2786,53,62.9,9.1,0.3866,0.4006,0.2017,34320,19.974,0.684,22.700,0.03,0.2786
BRA,Brazil,Latin America & Caribbean,Upper middle income,high,0.2783,54,62.1,101.3,0.3470,0.4177,0.2041,21590,17.393,0.607,19.100,0.22,0.2783
CRI,Costa Rica,Latin America & Caribbean,High income,high,0.2740,55,61.4,2.2,0.3440,0.4265,0.1941,28840,21.818,0.692,28.500,0.76,0.2740
TKL,Tokelau,,,medium,0.2727,56,60.7,0.0,0.5651,0.3537,0.1676,,,,,,
ROU,Romania,Europe & Central Asia,High income,high,0.2717,57,60.0,7.8,0.3272,0.4137,0.2027,47920,31.259,0.701,17.500,2.49,0.3177
SUR,Suriname,Latin America & Caribbean,Upper middle income,high,0.2703,58,59.3,0.2,0.3793,0.3975,0.1925,20000,9.012,,10.300,3.63,0.3328
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,high,0.2682,59,58.6,0.0,0.3902,0.3926,0.1886,9680,,,,11.87,0.3225
JAM,Jamaica,Latin America & Caribbean,Upper middle income,high,0.2662,60,57.9,1.1,0.3131,0.4222,0.1951,12690,17.734,,24.000,,0.2662
TUR,Türkiye,Europe & Central Asia,Upper middle income,high,0.2652,61,57.1,32.6,0.3212,0.4087,0.1973,44600,15.707,0.615,17.400,0.07,0.2652
CUB,Cuba,Latin America & Caribbean,Upper middle income,high,0.2645,62,56.4,4.6,0.3801,0.3963,0.1838,,,,6.700,,
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,high,0.2640,63,55.7,5.1,0.2734,0.4241,0.2037,26050,16.609,0.581,24.800,9.05,0.3183
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,high,0.2639,64,55.0,1.5,0.3350,0.3978,0.1964,12420,19.313,0.709,27.300,33.35,0.3179
MEX,Mexico,Latin America & Caribbean,Upper middle income,high,0.2638,65,54.3,59.0,0.2800,0.4129,0.2058,25460,11.088,0.496,20.100,3.64,0.3220
MNG,Mongolia,East Asia & Pacific,Upper middle income,high,0.2630,66,53.6,1.4,0.3322,0.3825,0.2035,17000,11.001,,16.700,2.22,0.3116
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,high,0.2628,67,52.9,1.3,0.3265,0.4041,0.1943,24990,19.236,,22.100,10.55,0.3134
COL,Colombia,Latin America & Caribbean,Upper middle income,high,0.2628,68,52.1,23.8,0.2980,0.4203,0.1959,21890,18.673,0.573,24.500,2.83,0.3015
TON,Tonga,East Asia & Pacific,Upper middle income,high,0.2590,69,51.4,0.0,0.3558,0.3976,0.1825,8400,,,,42.61,0.3194
SOM,Somalia,Sub-Saharan Africa,Low income,high,0.2586,70,50.7,1.0,0.3674,0.3790,0.1886,1630,,0.316,7.600,17.70,0.2783
FJI,Fiji,East Asia & Pacific,Upper middle income,high,0.2585,71,50.0,0.3,0.2934,0.4238,0.1899,14490,7.943,,,7.11,0.3215
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,high,0.2547,72,49.3,2.8,0.2486,0.4256,0.1982,10570,9.109,0.624,29.700,8.31,0.2905
EGY,Egypt,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,high,0.2543,73,48.6,29.9,0.2702,0.3894,0.2042,18230,6.255,0.444,14.800,7.60,0.2919
IRN,Iran (Islamic Republic of),"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,high,0.2538,74,47.9,24.1,0.2515,0.4090,0.2017,19820,,,12.600,,
PSE,Palestine (State of),"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,high,0.2534,75,47.1,0.7,0.2852,0.3782,0.2035,4660,8.426,0.564,,,0.2534
PHL,Philippines,East Asia & Pacific,Lower middle income,high,0.2523,76,46.4,46.8,0.2151,0.4320,0.2031,13330,12.022,0.538,20.100,8.73,0.3156
SLV,El Salvador,Latin America & Caribbean,Upper middle income,high,0.2511,77,45.7,2.9,0.2007,0.4152,0.2099,12420,11.178,0.470,18.300,24.00,0.3195
THA,Thailand,East Asia & Pacific,Upper middle income,high,0.2500,78,45.0,39.7,0.1813,0.4256,0.2111,23960,12.412,0.479,12.400,1.80,0.3158
GUY,Guyana,Latin America & Caribbean,High income,high,0.2470,79,44.3,0.2,0.2463,0.3964,0.1982,52290,8.447,,10.300,2.43,0.3203
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,high,0.2438,80,43.6,0.2,0.2357,0.3799,0.2018,10760,5.417,,,0.69,0.2438
PER,Peru,Latin America & Caribbean,Upper middle income,high,0.2432,81,42.9,17.7,0.2247,0.4088,0.1951,16780,14.673,0.667,16.400,1.71,0.3054
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,high,0.2428,82,42.1,8.0,0.2623,0.3758,0.1955,14530,9.339,0.453,12.500,0.25,0.2428
BLZ,Belize,Latin America & Caribbean,Upper middle income,high,0.2425,83,41.4,0.1,0.2016,0.4256,0.1963,13760,18.579,,,4.81,0.3170
BTN,Bhutan,South Asia,Lower middle income,high,0.2422,84,40.7,0.4,0.2857,0.3813,0.1866,15320,7.135,,,3.58,0.2583
IDN,Indonesia,East Asia & Pacific,Upper middle income,high,0.2419,85,40.0,138.7,0.1535,0.4102,0.2114,16010,6.573,0.427,14.100,1.15,0.3041
BOL,Bolivia (Plurinational State of),Latin America & Caribbean,Lower middle income,high,0.2413,86,39.3,6.8,0.1816,0.3815,0.2102,12620,9.082,0.504,12.700,2.34,0.2952
